date,code,high,low,open,close,volume_match
2019-10-01,VCB,83.6,81.8,82.1,83.4,795100
2019-10-02,VCB,83.7,81.7,83.4,82.0,1224650
2019-10-03,VCB,82.0,80.6,81.8,82.0,1003810
2019-10-04,VCB,83.5,81.8,82.0,83.0,1121700
2019-10-07,VCB,84.5,82.8,82.0,82.8,1134390
2019-10-08,VCB,85.3,82.8,82.0,85.1,1461940
2019-10-09,VCB,85.7,84.5,85.1,84.5,860160
2019-10-10,VCB,85.2,84.5,84.9,84.6,753670
2019-10-11,VCB,85.4,84.4,84.5,85.3,730370
2019-10-14,VCB,86.0,85.0,85.5,85.0,620800
2019-10-15,VCB,85.4,84.7,85.0,85.2,648400
2019-10-16,VCB,86.3,85.7,86.1,86.1,668740
2019-10-17,VCB,86.4,84.8,86.4,85.2,1023870
2019-10-18,VCB,85.8,84.8,85.5,85.0,417240
2019-10-21,VCB,84.9,83.6,84.9,84.2,561470
2019-10-22,VCB,85.8,84.2,84.2,85.4,473090
2019-10-23,VCB,85.8,84.6,85.5,85.3,538120
2019-10-24,VCB,87.0,85.1,85.3,86.9,660180
2019-10-25,VCB,88.5,86.6,86.9,88.0,838210
2019-10-28,VCB,88.2,87.4,88.0,87.4,383850
2019-10-29,VCB,87.5,86.3,87.4,86.4,702620
2019-10-30,VCB,88.2,86.1,86.1,87.8,607710
2019-10-31,VCB,88.5,87.6,88.1,87.7,319340
2019-11-01,VCB,89.4,87.5,87.7,88.8,1071470
2019-11-04,VCB,92.5,89.3,89.3,92.0,1091260
2019-11-05,VCB,92.5,90.7,92.1,90.8,616630
2019-11-06,VCB,92.3,90.7,90.8,91.0,673230
2019-11-07,VCB,91.9,91.0,91.0,91.3,360850
2019-11-08,VCB,91.9,90.8,91.3,91.5,416510
2019-11-11,VCB,91.8,91.0,91.8,91.3,423790
2019-11-12,VCB,92.1,91.3,91.4,91.7,595820
2019-11-13,VCB,92.2,90.0,92.2,90.5,706550
2019-11-14,VCB,91.4,90.2,90.5,90.9,375320
2019-11-15,VCB,91.0,89.4,90.0,89.7,565270
2019-11-18,VCB,89.9,87.5,89.5,87.6,700550
2019-11-19,VCB,91.0,88.0,88.0,91.0,526560
2019-11-20,VCB,91.0,89.5,91.0,89.5,516280
2019-11-21,VCB,89.7,87.5,89.1,87.5,1000670
2019-11-22,VCB,88.5,85.2,85.5,85.5,1346230
2019-11-25,VCB,86.0,82.6,85.5,84.5,1445550
2019-11-26,VCB,85.8,84.5,84.5,84.7,727130
2019-11-27,VCB,87.0,85.3,85.5,86.3,484360
2019-11-28,VCB,86.3,84.9,86.0,85.3,494650
2019-11-29,VCB,85.8,85.0,85.6,85.3,318000
2019-12-02,VCB,85.7,83.0,85.3,83.5,438800
2019-12-03,VCB,84.1,82.0,83.0,82.0,635370
2019-12-04,VCB,84.8,81.5,81.9,84.7,376730
2019-12-05,VCB,85.7,84.6,85.0,84.8,378490
2019-12-06,VCB,85.2,84.4,84.8,84.9,256400
2019-12-09,VCB,85.7,84.4,84.9,85.2,400740
2019-12-10,VCB,85.9,85.0,85.3,85.4,512290
2019-12-11,VCB,86.0,85.2,86.0,85.9,415080
2019-12-12,VCB,88.0,86.0,86.1,87.5,464750
2019-12-13,VCB,88.5,87.5,88.1,88.4,746800
2019-12-16,VCB,88.4,85.0,88.4,86.0,665550
2019-12-17,VCB,87.0,85.3,86.4,85.3,266250
2019-12-18,VCB,86.7,85.3,85.4,86.7,845740
2019-12-19,VCB,88.2,86.0,86.7,88.0,1014960
2019-12-20,VCB,88.5,87.8,88.0,88.3,389360
2019-12-23,VCB,91.0,88.9,88.9,90.9,937250
2019-12-24,VCB,90.8,88.9,90.8,90.0,507600
2019-12-25,VCB,90.9,89.0,90.0,89.9,230880
2019-12-26,VCB,90.5,89.0,90.5,89.4,404110
2019-12-27,VCB,90.5,88.3,89.3,90.5,498870
2019-12-30,VCB,92.2,90.0,90.5,91.0,660140
2019-12-31,VCB,91.1,90.1,90.6,90.2,230770
2020-01-01,VCB,91.1,90.1,90.6,90.2,230770
2020-01-02,VCB,91.4,89.7,90.2,90.8,386290
2020-01-03,VCB,91.8,89.9,91.5,89.9,536130
2020-01-06,VCB,89.5,87.5,89.2,87.5,880110
2020-01-07,VCB,87.9,85.4,87.0,87.8,1013270
2020-01-08,VCB,87.9,86.2,86.9,87.0,722280
2020-01-09,VCB,88.9,87.7,87.7,88.7,722670
2020-01-10,VCB,90.4,87.9,88.7,89.5,1526920
2020-01-13,VCB,89.8,89.0,89.0,89.4,1044640
2020-01-14,VCB,90.0,89.1,89.5,89.4,1001130
2020-01-15,VCB,89.6,88.8,89.6,89.3,1471860
2020-01-16,VCB,90.3,88.9,89.3,89.5,1171580
2020-01-17,VCB,94.5,89.5,89.5,94.5,2219790
2020-01-20,VCB,94.8,93.5,94.5,94.0,832190
2020-01-21,VCB,94.6,93.6,93.9,94.0,749590
2020-01-22,VCB,95.0,93.1,94.0,93.4,877710
2020-01-23,VCB,95.0,93.1,94.0,93.4,877710
2020-01-24,VCB,95.0,93.1,94.0,93.4,877710
2020-01-27,VCB,95.0,93.1,94.0,93.4,877710
2020-01-28,VCB,95.0,93.1,94.0,93.4,877710
2020-01-29,VCB,95.0,93.1,94.0,93.4,877710
2020-01-30,VCB,92.4,87.0,92.1,88.9,3541560
2020-01-31,VCB,89.8,87.7,88.0,88.7,1270160
2020-02-03,VCB,90.2,83.0,88.7,88.7,1457070
2020-02-04,VCB,89.8,87.7,89.0,89.8,1118410
2020-02-05,VCB,90.4,88.8,90.2,88.9,731310
2020-02-06,VCB,90.9,88.8,89.4,89.4,889570
2020-02-07,VCB,90.8,89.0,89.8,90.0,1170540
2020-02-10,VCB,89.5,88.5,89.2,88.9,607060
2020-02-11,VCB,89.5,88.9,89.0,89.2,520210
2020-02-12,VCB,89.8,89.1,89.8,89.4,609750
2020-02-13,VCB,89.5,88.8,89.2,89.3,633270
2020-02-14,VCB,89.8,89.0,89.0,89.3,432800
2020-02-17,VCB,89.9,89.1,89.3,89.4,343900
2020-02-18,VCB,89.6,89.0,89.6,89.4,432880
2020-02-19,VCB,89.5,89.0,89.0,89.5,264010
2020-02-20,VCB,90.4,89.2,89.7,89.5,541120
2020-02-21,VCB,89.5,89.0,89.5,89.0,898350
