date,high,low,open,close,volume_match
2020-01-01,91.1,90.1,90.6,90.2,230770.0
2020-01-02,91.4,89.7,90.2,90.8,386290.0
2020-01-03,91.8,89.9,91.5,89.9,536130.0
2020-01-06,89.5,87.5,89.2,87.5,880110.0
2020-01-07,87.9,85.4,87.0,87.8,1013270.0
2020-01-08,87.9,86.2,86.9,87.0,722280.0
2020-01-09,88.9,87.7,87.7,88.7,722670.0
2020-01-10,90.4,87.9,88.7,89.5,1526920.0
2020-01-13,89.8,89.0,89.0,89.4,1044640.0
2020-01-14,90.0,89.1,89.5,89.4,1001130.0
2020-01-15,89.6,88.8,89.6,89.3,1471860.0
2020-01-16,90.3,88.9,89.3,89.5,1171580.0
2020-01-17,94.5,89.5,89.5,94.5,2219790.0
2020-01-20,94.8,93.5,94.5,94.0,832190.0
2020-01-21,94.6,93.6,93.9,94.0,749590.0
2020-01-22,95.0,93.1,94.0,93.4,877710.0
2020-01-23,95.0,93.1,94.0,93.4,877710.0
2020-01-24,95.0,93.1,94.0,93.4,877710.0
2020-01-27,95.0,93.1,94.0,93.4,877710.0
2020-01-28,95.0,93.1,94.0,93.4,877710.0
2020-01-29,95.0,93.1,94.0,93.4,877710.0
2020-01-30,92.4,87.0,92.1,88.9,3541560.0
2020-01-31,89.8,87.7,88.0,88.7,1270160.0
2020-02-03,90.2,83.0,88.7,88.7,1457070.0
2020-02-04,89.8,87.7,89.0,89.8,1118410.0
2020-02-05,90.4,88.8,90.2,88.9,731310.0
2020-02-06,90.9,88.8,89.4,89.4,889570.0
2020-02-07,90.8,89.0,89.8,90.0,1170540.0
2020-02-10,89.5,88.5,89.2,88.9,607060.0
2020-02-11,89.5,88.9,89.0,89.2,520210.0
2020-02-12,89.8,89.1,89.8,89.4,609750.0
2020-02-13,89.5,88.8,89.2,89.3,633270.0
2020-02-14,89.8,89.0,89.0,89.3,432800.0
2020-02-17,89.9,89.1,89.3,89.4,343900.0
2020-02-18,89.6,89.0,89.6,89.4,432880.0
2020-02-19,89.5,89.0,89.0,89.5,264010.0
2020-02-20,90.4,89.2,89.7,89.5,541120.0
2020-02-21,89.5,89.0,89.5,89.0,898350.0
2020-02-24,88.0,86.0,86.0,87.2,995910.0
2020-02-25,87.0,85.8,86.0,86.2,1229530.0
2020-02-26,86.0,84.0,86.0,85.0,1163030.0
2020-02-27,84.6,82.9,84.0,84.0,1227980.0
2020-02-28,83.4,80.1,80.1,82.4,1710080.0
2020-03-02,82.2,81.3,81.5,81.8,668980.0
2020-03-03,83.5,82.2,83.5,82.2,848270.0
2020-03-04,82.0,81.0,82.0,81.7,581530.0
2020-03-05,83.6,82.2,82.2,83.1,833710.0
2020-03-06,85.7,82.0,83.0,84.5,884750.0
2020-03-09,80.9,78.6,79.0,78.6,1209500.0
2020-03-10,79.9,75.4,78.0,79.9,1433230.0
2020-03-11,80.4,74.4,80.4,77.0,1806190.0
2020-03-12,73.0,71.7,72.0,71.7,1582400.0
2020-03-13,73.0,66.7,66.7,71.0,1859750.0
2020-03-16,71.0,66.5,71.0,67.1,1022550.0
2020-03-17,67.5,63.6,67.5,67.5,1364590.0
2020-03-18,70.7,68.0,68.0,69.3,1099800.0
2020-03-19,68.7,66.0,67.3,66.0,1191150.0
2020-03-20,66.3,61.5,66.0,61.5,2763360.0
2020-03-23,58.5,57.2,57.6,57.2,1875070.0
2020-03-24,58.4,56.6,57.2,58.0,1498070.0
2020-03-25,62.0,59.7,60.0,62.0,1835730.0
2020-03-26,64.7,61.5,62.0,63.2,1484590.0
2020-03-27,65.9,62.5,63.3,64.1,1569620.0
2020-03-30,61.4,59.8,60.1,61.0,1637330.0
2020-03-31,64.1,60.0,61.5,62.0,957500.0
2020-04-01,65.9,61.5,61.5,65.0,1229320.0
2020-04-02,65.9,61.5,61.5,65.0,1229320.0
2020-04-03,66.3,64.0,65.0,65.5,1726690.0
2020-04-06,68.3,66.0,67.5,68.0,2111200.0
2020-04-07,69.0,66.8,68.0,68.2,1773570.0
2020-04-08,68.2,66.8,67.0,67.5,1778380.0
2020-04-09,72.0,68.0,68.0,71.0,1795170.0
2020-04-10,71.9,69.6,71.0,70.6,1599380.0
2020-04-13,71.8,70.0,70.6,70.8,1046830.0
2020-04-14,70.8,67.8,70.5,69.9,1944570.0
2020-04-15,71.3,69.7,69.7,70.9,1017740.0
2020-04-16,71.2,69.8,70.0,71.2,1057050.0
2020-04-17,71.8,70.9,71.5,71.4,1473140.0
2020-04-20,72.4,70.8,71.7,71.9,1026030.0
2020-04-21,71.5,67.8,71.0,71.5,2159110.0
2020-04-22,71.1,69.0,69.0,69.3,1612290.0
2020-04-23,71.0,68.8,71.0,69.2,1201610.0
2020-04-24,69.6,67.5,69.2,68.9,972170.0
2020-04-27,69.9,66.8,69.9,66.8,2547060.0
2020-04-28,68.5,65.2,66.8,67.0,2052860.0
2020-04-29,68.1,67.0,68.0,68.0,1523750.0
2020-04-30,68.1,67.0,68.0,68.0,1523750.0
2020-05-01,68.1,67.0,68.0,68.0,1523750.0
2020-05-04,68.1,66.8,68.0,67.4,852260.0
2020-05-05,67.7,66.8,67.3,66.8,1007640.0
2020-05-06,67.7,66.5,67.3,67.6,855770.0
2020-05-07,69.7,67.7,67.8,69.7,1936540.0
2020-05-08,74.2,69.8,70.0,73.5,3865590.0
2020-05-11,74.5,72.5,74.5,74.5,1696160.0
2020-05-12,76.0,74.4,74.6,75.6,2199500.0
2020-05-13,76.5,72.0,75.6,75.6,1851970.0
2020-05-14,76.4,74.9,75.0,76.0,2121750.0
2020-05-15,76.5,75.6,76.4,76.0,1596240.0
2020-05-18,79.0,75.8,76.3,78.5,1002690.0
2020-05-19,80.1,78.8,79.9,79.0,1129270.0
2020-05-20,79.7,78.4,78.4,79.6,710200.0
2020-05-21,81.2,79.6,80.0,81.2,1425500.0
2020-05-22,81.3,80.0,81.2,81.0,805710.0
2020-05-25,81.3,80.8,80.9,81.1,708710.0
2020-05-26,82.6,81.0,81.0,82.5,740930.0
2020-05-27,84.4,82.9,83.0,82.9,817770.0
2020-05-28,85.1,83.0,83.0,84.5,1849310.0
2020-05-29,86.0,84.5,85.0,85.2,1161180.0
2020-06-01,86.7,85.5,85.5,86.5,725310.0
2020-06-02,86.9,86.3,86.9,86.6,1009040.0
2020-06-03,87.9,86.9,87.0,87.9,462750.0
2020-06-04,89.0,88.0,88.0,89.0,450240.0
2020-06-05,89.3,87.0,89.1,89.0,810570.0
2020-06-08,90.2,88.4,89.0,89.4,802240.0
2020-06-09,90.0,89.4,89.9,89.5,417690.0
2020-06-10,89.8,89.3,89.5,89.6,793590.0
2020-06-11,89.6,87.0,89.5,88.0,1163900.0
2020-06-12,86.5,82.5,82.5,85.6,1612920.0
2020-06-15,85.8,81.8,85.6,82.0,1218540.0
2020-06-16,84.0,82.4,84.0,83.7,802980.0
2020-06-17,85.2,83.8,85.0,84.2,737830.0
2020-06-18,86.5,83.9,84.0,85.0,1809780.0
2020-06-19,86.0,85.0,85.0,85.4,723970.0
2020-06-22,85.6,85.0,85.0,85.5,1308600.0
2020-06-23,87.0,85.3,85.5,86.0,917230.0
2020-06-24,86.0,84.1,86.0,84.7,710160.0
2020-06-25,84.4,82.7,82.7,83.7,506650.0
2020-06-26,84.7,83.0,84.1,83.3,355930.0
2020-06-29,83.3,81.1,83.3,81.5,594140.0
2020-06-30,82.5,80.0,82.5,80.3,709990.0
2020-07-01,82.7,80.0,80.3,82.7,404440.0
2020-07-02,83.2,81.0,83.2,82.6,469040.0
2020-07-03,83.3,82.2,82.5,83.0,370340.0
2020-07-06,83.4,82.4,83.0,82.9,1218830.0
2020-07-07,84.2,83.3,84.0,83.4,1336830.0
2020-07-08,83.4,82.8,83.2,83.0,485190.0
2020-07-09,83.9,83.3,83.9,83.6,962170.0
2020-07-10,83.6,82.1,83.4,82.7,918560.0
2020-07-13,83.5,82.4,83.4,82.9,371630.0
2020-07-14,83.0,82.2,82.9,83.0,427110.0
2020-07-15,83.8,83.2,83.2,83.5,1198530.0
2020-07-16,83.9,82.9,83.8,83.5,1091190.0
2020-07-17,83.6,82.8,83.6,82.8,628000.0
2020-07-20,82.7,81.7,82.2,82.2,696830.0
2020-07-21,82.8,81.7,82.5,82.5,681740.0
2020-07-22,82.5,82.2,82.5,82.5,625320.0
2020-07-23,82.8,82.1,82.5,82.5,1350870.0
2020-07-24,82.3,78.5,82.1,81.0,1341540.0
2020-07-27,80.0,76.0,76.0,77.0,1274570.0
2020-07-28,78.8,76.5,77.0,78.5,910690.0
2020-07-29,78.0,75.1,76.0,77.5,833570.0
2020-07-30,78.5,77.3,77.6,77.4,937680.0
2020-07-31,77.4,76.0,76.0,76.4,672940.0
2020-08-03,78.8,76.0,76.0,78.8,422820.0
2020-08-04,81.9,79.4,80.0,81.9,616840.0
2020-08-05,83.0,80.4,81.9,82.7,778840.0
2020-08-06,83.1,81.9,82.6,82.8,802350.0
2020-08-07,83.0,82.4,83.0,82.9,518660.0
2020-08-10,83.2,81.9,83.0,81.9,576570.0
2020-08-11,82.6,81.8,82.5,82.1,312920.0
2020-08-12,82.3,81.9,82.1,82.1,310430.0
2020-08-13,83.0,82.0,82.9,83.0,385320.0
2020-08-14,83.1,81.9,83.0,82.0,820270.0
2020-08-17,82.9,81.7,82.3,82.3,389480.0
2020-08-18,82.6,81.7,82.3,82.3,331690.0
2020-08-19,83.0,82.0,82.3,83.0,586790.0
2020-08-20,84.5,83.0,83.0,83.0,1093620.0
2020-08-21,83.2,82.6,83.0,82.9,1281740.0
2020-08-24,84.6,83.0,83.0,83.9,1530010.0
